English,Italian
you,tu
i,io
the,il
to,a
a,un
s,s
it,esso
and,e
that,quello
t,t
of,di
is,è
in,in
what,che cosa
we,noi
me,me
this,questo
he,lui
for,per
my,mio
on,su
have,avere
your,tuo
do,fare
was,era
m,m
no,no
not,non
be,essere
are,sono
don,assistente
re,rif
know,sapere
can,potere
with,con
but,ma
all,tutto
so,così
just,appena
there,là
here,qui
they,essi
like,piace
ll,ll
get,ottenere
she,lei
go,andare
if,se
right,giusto
out,fuori
about,di
up,su
at,a
him,lui
now,ora
oh,oh
one,uno
come,venire
well,bene
her,suo
how,come
yeah,sì
ve,ve
will,volere
got,avuto
want,volere
think,pensare
as,come
see,vedere
did,fatto
good,bene
who,chi
why,perché
from,da
let,permettere
his,il suo
yes,sì
when,quando
going,andando
time,tempo
an,un
okay,va bene
back,indietro
look,aspetto
us,noi
would,volevo
them,loro
where,dove
were,erano
take,prendere
then,poi
had,avevo
or,o
been,stato
our,nostro
gonna,andando
tell,raccontare
really,veramente
man,uomo
some,alcuni
say,dire
hey,ehi
could,potevo
d,d
didn,non
by,di
need,bisogno
something,qualcosa
has,ha
too,pure
more,di più
way,modo
down,giù
make,fare
very,molto
never,mai
only,soltanto
people,persone
over,sopra
because,perché
little,poco
please,per favore
love,amore
should,dovrebbe
mean,significare
said,disse
sorry,scusa
give,dare
off,spento
am,sono
thank,grazie
any,qualunque
two,due
even,anche
much,tanto
doing,facendo
sure,sicuro
thing,cosa
these,questi
help,aiuto
first,primo
into,in
anything,nulla
still,ancora
find,trovare
life,vita
nothing,niente
sir,signore
day,giorno
god,dio
work,lavoro
their,loro
uh,uh
again,ancora
maybe,forse
must,dovere
before,prima
other,altro
wait,aspettare
stop,fermare
call,chiamata
after,dopo
won,vinto
talk,parlare
away,lontano
than,di
thought,pensiero
home,casa
night,notte
put,mettere
great,grande
those,quelli
last,scorso
better,meglio
everything,qualunque cosa
told,detto
mr.,sig.
new,nuovo
things,cose
always,sempre
keep,mantenere
long,lungo
years,anni
leave,partire
does,fa
money,soldi
around,in giro
doesn,non
name,nome
place,posto
ever,mai
feel,tatto
guys,ragazzi
father,padre
guy,tipo
made,fatto
old,vecchio
isn,non è
which,quale
big,grande
lot,quantità
done,fatto
hello,ciao
nice,carino
believe,credere
girl,ragazza
someone,qualcuno
fine,bene
thanks,grazie
wanted,ricercato
kind,tipo
coming,in arrivo
house,casa
every,ogni
ok,ok
through,attraverso
being,essendo
course,corso
stay,rimanere
left,sinistra
dad,papà
enough,abbastanza
happened,accaduto
came,venni
may,maggio
mother,madre
wrong,sbagliato
world,mondo
bad,cattivo
might,potrebbe
three,tre
today,oggi
listen,ascoltare
another,un altro
understand,capire
hear,ascoltare
remember,ricordare
ask,chiedere
own,proprio
same,stesso
show,spettacolo
else,altro
kill,uccisione
talking,parlando
found,trovato
next,prossimo
getting,ottenere
care,cura
car,auto
looking,guardare
son,figlio
try,tentativo
woman,donna
went,andato
hi,ciao
dead,morto
many,molti
mind,mente
wasn,non era
friend,amico
best,migliore
mom,mamma
hell,inferno
morning,mattina
trying,provando
boy,ragazzo
together,insieme
yourself,te stesso
job,lavoro
saw,sega
family,famiglia
real,vero
without,senza
baby,bambino
room,camera
wouldn,non
already,già
move,mossa
most,maggior parte
seen,visto
live,vivere
miss,mancare
actually,in realtà
huh,eh
shit,merda
both,entrambi
heard,sentito
once,una volta
ready,pronto
head,testa
called,chiamato
used,usato
idea,idea
knew,sapevo
hold,presa
happy,contento
door,porta
such,come
fuck,fanculo
brother,fratello
also,anche
pretty,bello
bit,morso
took,preso
haven,rifugio
yet,ancora
men,uomini
whole,totale
start,inizio
use,utilizzo
while,mentre
since,da
wife,moglie
days,giorni
guess,indovinare
tomorrow,domani
matter,questione
meet,incontrare
bring,portare
tonight,stasera
everyone,tutti
run,correre
wanna,voglio
hard,difficile
ah,ah
alone,solo
myself,me stessa
school,scuola
gone,andato
um,ehm
end,fine
saying,detto
phone,telefono
play,giocare
looks,sembra
couldn,non poteva
fucking,cazzo
problem,problema
few,pochi
friends,amici
gotta,devo
ago,fa
open,aprire
anyone,chiunque
killed,ucciso
hope,speranza
face,viso
until,fino a
lost,perduto
police,polizia stradale
excuse,scusa
turn,giro
business,attività commerciale
case,caso
wants,vuole
says,dice
true,vero
die,morire
heart,cuore
soon,presto
each,ogni
worry,preoccupazione
later,dopo
year,anno
watch,orologio
music,musica
hand,mano
having,avendo
probably,probabilmente
beautiful,bellissimo
doctor,medico
sit,sedersi
eat,mangiare
thinking,pensiero
young,giovane
second,secondo
working,lavorando
water,acqua
person,persona
part,parte
kids,bambini
late,tardi
stuff,cose
exactly,esattamente
under,sotto
death,morte
minute,minuto
pay,paga
crazy,pazzo
forget,dimenticare
everybody,tutti
kid,ragazzo
change,modifica
gave,ha dato
happen,accadere
damn,dannazione
five,cinque
drink,bere
far,lontano
knows,sa
its,suo
whatever,qualunque cosa
eyes,occhi
shut,chiuso
aren,arena
hit,colpo
taking,prendendo
easy,facile
times,volte
check,controllo
hands,mani
minutes,minuti
deal,affare
different,diverso
means,significa
point,punto
inside,dentro
makes,fa
asked,chiesto
somebody,qualcuno
mine,mio
making,fabbricazione
body,corpo
afraid,paura
sleep,sonno
chance,opportunità
dear,caro
quite,abbastanza
four,quattro
anyway,comunque
close,vicino
ain,ain
party,festa
fun,divertimento
against,contro
word,parola
comes,viene
important,importante
set,impostato
shall,deve
story,storia
number,numero
daughter,figlia
least,meno
waiting,in attesa
hurt,male
wish,desiderio
moment,momento
fight,combattimento
week,settimana
husband,marito
girls,ragazze
rest,riposo
married,sposato
fire,fuoco
game,gioco
nobody,nessuno
mr,sig
children,bambini
side,lato
stand,in piedi
read,leggere
though,anche se
cut,taglio
started,iniziato
sister,sorella
supposed,presunto
between,fra
child,bambino
goes,va
hours,ore
speak,parlare
women,donne
behind,dietro
almost,quasi
truth,verità
blood,sangue
able,capace
lady,signora
anymore,più
playing,giocando
gets,ottiene
shot,sparo
reason,motivo
trouble,guaio
break,rottura
war,guerra
city,città
walk,camminare
town,città
trust,fiducia
dr.,dottore
met,incontrato
office,ufficio
question,domanda
brought,portato
yours,il tuo
welcome,benvenuto
high,alto
wow,oh
couple,coppia
half,metà
died,morto
cool,freddo
free,gratuito
either,o
seems,sembra
power,energia
whoa,wow
bye,ciao
buy,acquistare
telling,raccontare
honey,miele
tried,provato
front,davanti
team,squadra
answer,risposta
gun,pistola
boys,ragazzi
line,linea
send,inviare
news,notizia
stupid,stupido
bed,letto
hurry,fretta
full,pieno
months,mesi
save,salva
sometimes,a volte
become,diventare
along,lungo
hate,odio
food,cibo
outside,al di fuori
light,leggero
l,l
needs,esigenze
dog,cane
country,paese
clear,chiaro
order,ordine
em,loro
fact,fatto
lord,signore
captain,capitano
six,sei
hot,caldo
funny,divertente
black,nero
mrs.,sig.ra.
alive,vivo
pick,scegliere
feeling,sensazione
living,vita
cause,causa
ahead,avanti
lose,perdere
king,re
plan,piano
dinner,cena
sighs,sospiri
sort,ordinare
leaving,in partenza
shouldn,non dovrebbe
running,corsa
boss,capo
alright,bene
promise,promessa
taken,preso
safe,sicuro
ma,ma
book,libro
sent,inviato
white,bianco
hour,ora
anybody,nessuno
small,piccolo
perfect,perfetto
cause,causa
lives,vite
special,speciale
parents,genitori
s,s
john,giovanni
himself,se stesso
perhaps,forse
sounds,suoni
serious,serio
sick,malato
company,azienda
ha,ha
scared,impaurito
uncle,zio
poor,povero
red,rosso
past,passato
earth,terra
possible,possibile
shoot,sparare
touch,tocco
sound,suono
top,superiore
ass,culo
laughs,risate
cannot,non può
asking,chiedendo
win,vincita
glad,lieto
control,controllare
hmm,hmm
human,umano
drive,guidare
hair,capelli
jack,cricco
bitch,cagna
luck,fortuna
murder,omicidio
happens,succede
air,aria
ten,dieci
daddy,papà
finally,finalmente
chuckles,risatine
fast,veloce
cold,freddo
seem,sembrare
laughing,ridendo
words,parole
hospital,ospedale
street,strada
hang,appendere
dance,ballare
meeting,incontro
